contentid,contenttypeid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,cat1,cat2,cat3,tel,firstimage,createdtime,modifiedtime,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,firstimage2,cpyrhtDivCd,mlevel
2845123,39,본가딸부자전복죽집,부산광역시 기장군 기장읍 연화2길 14-1,,6,3,129.2260450183,35.2175468041,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/06/2845106_image2_1.jpg,20220829152638,20250609143136,46082,26,710,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/06/2845106_image3_1.jpg,Type3,6
3470763,32,본호텔,부산광역시 북구 낙동대로 1746-8 (구포동),,6,8,128.9999843707,35.2090574567,B02,B0201,B02010100,,,20250124134457,20250319175938,46501,26,320,AC,AC01,AC010100,,,6
2763881,38,부곡상가시장,부산광역시 금정구 부곡로 107,"(부곡동,부곡상가맨션)",6,2,129.0914815074,35.2255211909,A04,A0401,A04010200,,http://tong.visitkorea.or.kr/cms/resource/95/3561995_image2_1.jpg,20211028001646,20251105172702,46302,26,410,SH,SH06,SH060200,http://tong.visitkorea.or.kr/cms/resource/95/3561995_image3_1.jpg,Type1,6
130216,14,부산 강서문화원,부산광역시 강서구 낙동북로 477 강서구청,별관 3층,6,1,128.9805054495,35.2113235102,A02,A0206,A02060700,,http://tong.visitkorea.or.kr/cms/resource/88/3336488_image2_1.jpg,20071106104713,20250318220411,46702,26,440,VE,VE09,VE090100,http://tong.visitkorea.or.kr/cms/resource/88/3336488_image3_1.jpg,Type3,6
1922538,25,부산 금정산에서 마음을 비우다,,,6,2,129.0568164127,35.2781007650,C01,C0114,C01140001,,http://tong.visitkorea.or.kr/cms/resource/50/1459550_image2_1.jpg,20140530231519,20230808152914,,26,410,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/50/1459550_image3_1.jpg,Type3,7
130798,14,부산 동구도서관,부산광역시 동구 성북로36번길 54,(범일동),6,5,129.0524428566,35.1380885970,A02,A0206,A02060900,,http://tong.visitkorea.or.kr/cms/resource/48/3343348_image2_1.jpg,20060418090000,20250319190524,48763,26,170,VE,VE09,VE090300,http://tong.visitkorea.or.kr/cms/resource/48/3343348_image3_1.jpg,Type3,6
1303697,38,부산 르네시떼,부산광역시 사상구 광장로 7,(괘법동),6,9,128.9776597721,35.1638537784,A04,A0401,A04010600,,http://tong.visitkorea.or.kr/cms/resource/72/3476772_image2_1.jpg,20110610012732,20250414140448,46970,26,530,SH,SH05,SH050200,http://tong.visitkorea.or.kr/cms/resource/72/3476772_image3_1.jpg,Type3,6
231945,12,부산 복천동 고분군,부산광역시 동래구 복천로 66,,6,6,129.0906820891,35.2068732659,A02,A0201,A02010700,,http://tong.visitkorea.or.kr/cms/resource/94/3083494_image2_1.JPG,20071016090000,20250509102810,47802,26,260,HS,HS01,HS010800,http://tong.visitkorea.or.kr/cms/resource/94/3083494_image3_1.JPG,Type3,6
3532971,15,부산 서구 의료관광축제,부산광역시 서구 송도해변로 36 (암남동),,6,11,129.0174754570,35.0727563766,A02,A0207,A02070200,051-240-4017,http://tong.visitkorea.or.kr/cms/resource/55/3532955_image2_1.jpg,20250908172625,20250909154409,49275,26,140,EV,EV01,EV010600,http://tong.visitkorea.or.kr/cms/resource/55/3532955_image3_1.jpg,Type3,6
1215432,32,부산 센트럴호텔,부산광역시 연제구 중앙대로 1122,(연산동),6,13,129.0815722951,35.1877669046,B02,B0201,B02010100,,http://tong.visitkorea.or.kr/cms/resource/01/2640501_image2_1.jpg,20110224215351,20250326152406,47520,26,470,AC,AC01,AC010100,http://tong.visitkorea.or.kr/cms/resource/01/2640501_image3_1.jpg,Type3,6
2504464,12,부산 송도해상케이블카,부산광역시 서구 송도해변로 171,,6,11,129.0234248332,35.0766810472,A02,A0203,A02030400,,http://tong.visitkorea.or.kr/cms/resource/11/3413711_image2_1.jpg,20170828204609,20251024113010,49269,26,140,EX,EX07,EX070200,http://tong.visitkorea.or.kr/cms/resource/11/3413711_image3_1.jpg,Type3,6
126122,12,부산 송도해수욕장,부산광역시 서구 송도해변로 100,,6,11,129.0164588470,35.0739256715,A01,A0101,A01011200,,http://tong.visitkorea.or.kr/cms/resource/86/2504686_image2_1.jpg,20031209090000,20250326144550,49269,26,140,NA,NA02,NA020900,http://tong.visitkorea.or.kr/cms/resource/86/2504686_image3_1.jpg,Type3,6
1922568,25,부산 앞바다를 한눈에 아우르다,,,6,14,129.0870866804,35.0504712626,C01,C0115,C01150001,,http://tong.visitkorea.or.kr/cms/resource/86/1572286_image2_1.jpg,20140530233129,20230809131031,,26,200,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/86/1572286_image3_1.jpg,Type3,
