grid_x,grid_y,lat,lon
1465,880,34.90407,129.25967
1466,880,34.903885,129.26523
1467,880,34.903698,129.2708
1468,880,34.90351,129.27637
1469,880,34.903324,129.28194
1470,880,34.903137,129.28749
1471,880,34.902946,129.29306
1472,880,34.90276,129.29863
1377,881,34.923862,128.76994
1378,881,34.923706,128.77551
1379,881,34.923546,128.78108
1380,881,34.923386,128.78665
1381,881,34.923225,128.79222
1382,881,34.923065,128.79779
1383,881,34.922905,128.80336
1384,881,34.922745,128.80893
1385,881,34.922585,128.8145
1386,881,34.922424,128.82007
1387,881,34.92226,128.82564
1388,881,34.9221,128.83119
1389,881,34.921936,128.83676
1390,881,34.921772,128.84233
1391,881,34.92161,128.8479
1392,881,34.921448,128.85347
1393,881,34.921284,128.85904
1394,881,34.92112,128.86461
1395,881,34.920956,128.87018
1396,881,34.92079,128.87575
1397,881,34.920624,128.88132
1398,881,34.92046,128.88689
1399,881,34.920296,128.89246
1400,881,34.920128,128.89803
1401,881,34.919964,128.9036
1402,881,34.919796,128.90915
1403,881,34.91963,128.91472
1404,881,34.91946,128.92029
1405,881,34.919292,128.92586
1406,881,34.919125,128.93143
1407,881,34.918957,128.937
1408,881,34.91879,128.94257
1409,881,34.91862,128.94814
1410,881,34.918453,128.9537
1411,881,34.91828,128.95927
1412,881,34.918114,128.96484
1413,881,34.917942,128.9704
1414,881,34.91777,128.97597
1415,881,34.917603,128.98154
1416,881,34.91743,128.9871
1417,881,34.91726,128.99268
1418,881,34.917088,128.99825
1419,881,34.916916,129.00381
1420,881,34.916744,129.00938
1421,881,34.91657,129.01495
1422,881,34.916397,129.02051
1423,881,34.916225,129.02608
1424,881,34.91605,129.03165
1425,881,34.91588,129.03722
1426,881,34.915703,129.04279
1427,881,34.915527,129.04836
1428,881,34.91535,129.05392
1429,881,34.915176,129.0595
1430,881,34.915,129.06505
1431,881,34.914825,129.07062
1432,881,34.91465,129.07619
1433,881,34.914474,129.08176
1434,881,34.914295,129.08733
1435,881,34.91412,129.0929
1436,881,34.913944,129.09846
1437,881,34.913765,129.10402
1438,881,34.913586,129.10959
1439,881,34.91341,129.11516
1440,881,34.91323,129.12073
1441,881,34.91305,129.1263
1442,881,34.912872,129.13187
1443,881,34.912693,129.13742
1444,881,34.91251,129.14299
1445,881,34.91233,129.14856
1446,881,34.91215,129.15413
1447,881,34.91197,129.1597
1448,881,34.91179,129.16527
1449,881,34.911606,129.17082
1450,881,34.911427,129.17639
1451,881,34.911243,129.18196
1452,881,34.91106,129.18753
1453,881,34.910877,129.1931
1454,881,34.910694,129.19867
1455,881,34.91051,129.20422
1456,881,34.910328,129.2098
1457,881,34.910145,129.21536
1458,881,34.909958,129.22093
1459,881,34.909775,129.2265
1460,881,34.909588,129.23206
1461,881,34.909405,129.23763
1462,881,34.909218,129.2432
1463,881,34.90903,129.24876
1464,881,34.908844,129.25433
1465,881,34.908657,129.25989
1466,881,34.90847,129.26546
1467,881,34.908283,129.27103
1468,881,34.908096,129.2766
1469,881,34.90791,129.28217
1470,881,34.907722,129.28772
1471,881,34.90753,129.29329
1472,881,34.907345,129.29886
1377,882,34.92845,128.77014
1378,882,34.92829,128.77571
1379,882,34.92813,128.78128
